country,code,year,under_5,age_5_14,age_15_49,age_50_69,over_70,total_deaths,population,perc_of_pop_w_malaria,gdp_per_capita
Afghanistan,AFG,2000,239,43,559,49,35,925,22856302.0,1.04,
Albania,ALB,2000,0,0,0,0,0,0,3071856.0,0.0,5669.0
Algeria,DZA,2000,0,0,5,1,1,7,30533827.0,0.01,10211.0
American Samoa,ASM,2000,0,0,0,0,0,0,57625.0,0.0,
Andean Latin America,,2000,16,10,24,9,6,65,,0.73,
Andorra,AND,2000,0,0,0,0,0,0,64634.0,0.0,
Angola,AGO,2000,6638,749,1196,694,185,9462,13926373.0,15.19,2873.0
Antigua and Barbuda,ATG,2000,0,0,0,0,0,0,77656.0,0.0,18908.0
Argentina,ARG,2000,0,0,3,1,2,6,36930709.0,0.03,14900.0
Armenia,ARM,2000,0,0,0,0,0,0,3076098.0,0.08,2925.0
Australasia,,2000,0,0,0,0,0,0,,0.0,
Australia,AUS,2000,0,0,0,0,0,0,19164351.0,0.0,35378.0
Austria,AUT,2000,0,0,0,0,0,0,8004712.0,0.0,38844.0
Azerbaijan,AZE,2000,0,0,1,0,0,1,8110723.0,0.15,4459.0
Bahamas,BHS,2000,0,0,0,0,0,0,297651.0,0.0,32991.0
Bahrain,BHR,2000,0,0,0,0,0,0,638193.0,0.0,44942.0
Bangladesh,BGD,2000,3,2983,1624,960,533,6103,129592275.0,0.66,1642.0
Barbados,BRB,2000,0,0,0,0,0,0,267511.0,0.0,15468.0
Belarus,BLR,2000,0,0,0,0,0,0,10057810.0,0.0,7563.0
Belgium,BEL,2000,0,0,0,0,0,0,10175684.0,0.0,37189.0
Belize,BLZ,2000,0,0,0,0,0,0,250512.0,0.73,6961.0
Benin,BEN,2000,4953,631,754,499,307,7144,6517810.0,29.1,1666.0
Bermuda,BMU,2000,0,0,0,0,0,0,62834.0,0.0,51140.0
Bhutan,BTN,2000,26,10,3,2,1,42,571262.0,2.37,3539.0
Bolivia,BOL,2000,4,1,4,1,1,11,8307248.0,0.67,4412.0
